datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
,,,,,,,,,"Estr. XV-XVIII, 21, 458 (błędna data w odpisie tyt.)",,,,,,,,,,
,,,,,,,,,"Estr. XV-XVIII, 26, 16",,,,,,,,,,
,,,,,,,,,Dwa dołączone dokumenty w jęz. łac.,,,,,,,,,,
2020-10-07T13:30:10Z,modlitewnik,http://dlibra.bibliotekaelblaska.pl/Content/29538,clarind-uds:poldilemma-29538,CC BY NC SA,pol,,starodruk,text,"Starodruk w języku polskim, zawierający kazania na różne okazje (pogrzeby, niedziele i święta) wybitnego jezuity na Litwie księdza Wawrzyńca Rydzewskiego. Na stronie tytułowej modlitewnika odręczne zapiski po łacinie.",L-64801,Kazania niedzielne X. Wawrzyńca Rydzewskiego. Edycya druga. T. 2.,,1770-01-01T00:00:00Z,application/xml,application,xml,Societatis Jesu,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-29538
,kazania kościelne - 18 w.,oai:dlibra.bibliotekaelblaska.pl:publication:30889,hdl:11858/00-246C-0000-0023-8D17-9,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,ostrogscy,http://pbc.biaman.pl/Content/38,clarind-uds:poldilemma-38,CC BY NC SA,pol,,starodruk,text,ilość skanów: 196 ; sygn. St-303,,Akta publiczne do interessu ordynacyi Ostrogskiey należące,,1754-01-01T00:00:00Z,application/xml,application,xml,s.n.,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-38
,polska - 18 w.,,hdl:11858/00-246C-0000-0023-8D19-5,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,konstytucja 1768 r.,http://pbc.biaman.pl/Content/400,clarind-uds:poldilemma-400,CC BY NC SA,pol,,starodruk,text,,,"Konstytucye Seymu Extraordynaryinego w Warszawie, Roku MDCCLXVII. Dnia piątego października złożonego y zaczętego, a z Limitacyi y prorogacyi roku MDCCLXVIII. Dnia piątego Marca, przy rozwiązaniu Konfederacyi Generalnych Koronney y Wielkiego Xięstwa Litewskiego zakończonego [...] ustanowione.",,1768-01-01T00:00:00Z,application/xml,application,xml,Drukarnia J.K.Mci i Rzeczyplitey u XX. Scholarum Piarum,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-400
,,,hdl:11858/00-246C-0000-0023-8D1A-3,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,mowy polskie 17 w.,http://pbc.biaman.pl/Content/42,clarind-uds:poldilemma-42,CC BY NC SA,pol,,starodruk,text,ilość skanów: 115 ; sygn. 1167,,Mowy różne przez X.Andrzeja Chryzostoma Na Załuskach y Błędowie Załuskiego biskupa kijowskiego y czerniechowskiego &c. Miane a Najaśnieyszey Królowy Mariey Kazimierze Pani Swoiey y Dobrodzieyce Miłościwey Przypisane.,"Załuski, Andrzej Chryzostom (ca 1648 - 1711)",1690-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Collegium Scholarum Piarum,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-42
,,,hdl:11858/00-246C-0000-0023-8D1B-1,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,kazania polskie 18 w.,http://pbc.biaman.pl/Content/578,clarind-uds:poldilemma-578,CC BY NC SA,pol,,starodruk,text,ilość skanów: 377 ; sygn. St-18,,Kazania niedzielne. T. 1.,"Lachowski, Sebastian (1731-1794)",1793-01-01T00:00:00Z,application/xml,application,xml,Drukarnia J.K.Mci XX. Bazylianów,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-578
,,,hdl:11858/00-246C-0000-0023-8D28-3,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,kościół katolicki - polska -17 w.,http://pbc.biaman.pl/Content/592,clarind-uds:poldilemma-592,CC BY NC SA,pol,,starodruk,text,ilość skanów: 65 ; sygn. St-341,,"Chleb niezdrowy: Stacye Zołnierskie z Dobr Koscielnych, to jest Dyskurs, którym się pokazuje, że Stacyi, abo chleba zołnierz wyciągać z Dobr Kościelnych nie ma, y nie może.",,1661-01-01T00:00:00Z,application/xml,application,xml,s.n.,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-592
,majątek kościelny,,hdl:11858/00-246C-0000-0023-8D29-1,CC BY NC SA,lat,,,,,,,,,,,,,,
,prawo kanoniczne,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,modlitewnik katolicki,http://dlibra.bibliotekaelblaska.pl/Content/5946,clarind-uds:poldilemma-5946,CC BY NC SA,pol,,starodruk,text,"Na karcie przedtytułowej odręczne łacińskie zapiski . Za kartą tytułową widnieją cytaty łacińskie oraz pozwolenie i aprobata na wydruk owego dzieła, wystawione 20 listopada 1744 r. w Krakowie i zatwierdzające druk do publikacji przez doktora, profesora, kanonika katedry krakowskiej ks. Macieja Ziętkiewicza. Podręcznik do nauk chrześcijańskich (katechizm) oparty na zadawaniu pytań oraz odpowiedziach m. in. : pytanie: Która rzecz jest najgorsza na tym świecie ? odp. : grzech etc. Starodruk współoprawny : XVIII. 146 adl. 1-2 (adl. 2-""Przewodnik na drogę wiecznosci dla duß ludzkich…""), wydany w drukarni Dominika Wojciecha Siarkowskiego, w formacie 4°. Oprawa zniszczona.",XVIII. 146,"Chleb duchowny, wszystkim chrześcianom na posiłek w drodze, do Nieba idącym, wystawiony albo raczey katechizm…",Wuykowski Jan Stanisław Kostka,1746-01-01T00:00:00Z,application/xml,application,xml,Dominik Wojciech Siarkowski,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-5946
,nauki chrześcijańskie - podręcznik,oai:dlibra.bibliotekaelblaska.pl:publication:6373,hdl:11858/00-246C-0000-0023-8D2A-0,CC BY NC SA,lat,,alter druck,text,"Auf dem Vortitelblatt handgeschriebene lateinische Notizen. Auf dem nächsten Blatt lateinische Sprüche und Zulassung des Werkes zum Druck vom Professor Dr. Kanoniker der Wawelkathedrale Maciej Ziętkiewicz. Das Handbuch zur christlichen Lehre (Katechismus) mit Fragen und Antworten (z. B. „-Was ist am schlimmsten auf der ganzen Welt?“ „Sünde“. Das zusammen eingebundene Druckerzeugnis: XVIII. 146 adl. 1-2 (adl. 2-""Przewodnik na drogę wieczności dla duß ludzkich…""), in der Druckerei von Dominik Wojciech Siarkowski, im Buchformat 4º. Beschädigter Einband.",XVIII. 146,"Chleb duchowny, wszystkim chrześcianom na posiłek w drodze, do Nieba idącym, wystawiony albo raczey katechizm…",Wuykowski Jan Stanisław Kostka,1746-01-01T00:00:00Z,,,,Dominik Wojciech Siarkowski,,
,katholisches gebetbuch,,,,,,,,,,,,,,,,,,
,christliche lehre - handbuch,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,"szkło, wieś",http://dlibra.bibliotekaelblaska.pl/Content/5971,clarind-uds:poldilemma-5971,CC BY NC SA,pol,,starodruk,text,"Sixtus Erazm (właśc. Mrzygłód) (1570-1635) – doktor medycyny i filozofii. W swoim dziele opisuje źródła wody siarczanej we wsi Szkło niedaleko Lwowa. Autor powołuje się na inne źródło o tych wodach, a mianowicie na Cieplice W. Oczki. Sixtus E. traktuje zatem swoje dzieło jako uzupełnienie do w/w pozycji. Druk wydany w Zamościu przez Krzysztofa Wolbramczyka, w formacie 4°, zawiera pieczęci Biblioteki Gimnazjum Elbląskiego i Stadtbibliothek.Oprawa pergaminowa z jappem. W 2010 r. drukpoddano konserwacji zachowawczej w ramach projektu „Konserwacjazachowawcza druków XV-XVII w. Biblioteki Elbląskiej”.",Pol. 7. II. 303,O cieplicach we Skle Ksiąg Troie. Przez Erazma Syxta Philozophiey y Medicyny Doktora Napisanych...,Sixtus Erazm,1617-01-01T00:00:00Z,application/xml,application,xml,Wolbramczyk Krzysztof,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-5971
,wody siarczane,oai:dlibra.bibliotekaelblaska.pl:publication:6186,hdl:11858/00-246C-0000-0023-8D2B-E,CC BY NC SA,,,alter druck,text,"Sixtus Erasm war Doktor der Medizin und Philosophie. Sein Werk handelt von den Schwefelquellen im Dorf Szkło bei Lemberg . Der Autor bezieht sich auch auf andere Quellen und nämlich auf die Abhandlung von W. Oczko, der auch für die Erforschung der Thermalquellen war. Der Beitrag von Sixtus soll als die Ergänzung der Abhandlung von Oczko über heiße Quellen angesehen werden. Das Druckerzeugnis wurde in Zamość (Zamosch) von Krzysztof Wolbramczyk herausgegeben. Format-4º, Siegel der Gymnasialbibliotek und Elbinger Stadtbibliothek. Der Pergamenteinband wurde an den Rändern geknickt, um die Blattränder zu schützen.",Pol. 7. II. 303,O cieplicach we Skle Ksiąg Troie. Przez Erazma Syxta Philozophiey y Medicyny Doktora Napisanych...,Sixtus Erazm,1617-01-01T00:00:00Z,,,,Wolbramczyk Krzysztof,,
,"sixtus, erazm (właśc. mrzygłód) (1570-1635)",,,,,,,,,,,,,,,,,,
,kurort,,,,,,,,,,,,,,,,,,
,wodolecznictwo,,,,,,,,,,,,,,,,,,
,"oczko, w.",,,,,,,,,,,,,,,,,,
,kurort,,,,,,,,,,,,,,,,,,
,wasserheilkunde,,,,,,,,,,,,,,,,,,
,"szkło, dorf",,,,,,,,,,,,,,,,,,
,"oczko, w.",,,,,,,,,,,,,,,,,,
,schwefelquellen,,,,,,,,,,,,,,,,,,
,"sixtus, erazm (eig. mrzygłód) (1570-1635)",,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,modlitewnik,http://dlibra.bibliotekaelblaska.pl/Content/5973,clarind-uds:poldilemma-5973,CC BY NC SA,pol,,starodruk,text,"Jezuici (pełna nazwa: Towarzystwo Jezusowe ) – męski papieski zakon apostolski Kościoła rzymskokatolickiego, zatwierdzony przez papieża Pawła III 27 września 1540 r. Towarzystwo Jezusowe zostało założone w głównej mierze do walki z reformacją, by bronić i rozszerzać wiarę oraz naukę Kościoła rzymskokatolickiego, przede wszystkim przez publiczne nauczanie, ćwiczenia duchowne, edukację i udzielanie sakramentów. Od samego początku podstawowymi zasadami jezuitów, odróżniającymi go od innych zakonów, były: akcentowanie posłuszeństwa wobec papieża i przełożonych, stałe edukowanie własnych członków-tak aby posiadali oni możliwie jak najlepsze wykształcenie, nie ograniczające się tylko do wykształcenia czysto religijnego-aby byli zdolni dobrze rozumieć aktualnie panującego ""ducha współczesności"". Modlitewnik w języku polskim, wydany w drukarni J.K.Mci. i Rzeczypospolitey, w formacie 4°. Każda modlitwa zamieszczona jest w tabelach na każdej stronie ( każda tabela podzielona na 15 rubryk). Starodruk nie posiada oprawy.",XVIII. 140,Dworskie nabozenstwo ktore kazdy nabozny oboiey płci człowiek kazdego czasu odprawowac może przez iednego …,,1781-01-01T00:00:00Z,application/xml,application,xml,J.K.Mci. i Rzeczypospolitey,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-5973
,towarzystwo jezusowe,oai:dlibra.bibliotekaelblaska.pl:publication:6370,hdl:11858/00-246C-0000-0023-8D2C-C,CC BY NC SA,lat,,alter druck,text,"Jesuitenorden (die Gesellschaft Jesu) ist ein männlicher Orden, der 1540 vom Papst Paul den III. anerkannt wurde. Seine Hauptvoraussetzungen waren Kampf mit der Reformation, Verteidigung und Verbreitung der katholischen Glaube durch Predigen, Exerzitien, Erziehung und Erteilung der Sakramente. Vom Anfang an waren der Gehorsam gegenüber dem Generaloberen und dem Papst und ständige (nicht nur religiöse) Selbstbildung zwecks des guten Verständnisses des Gegenwartsgeistes Hauptprinzipien des Ordens. Das Gebetbuch im Polnischen, wurde in der königlichen Buchdruckerei, im 4º Format herausgegeben. Jedes Gebet wurde in einer Tabelle enthalten. Einband fehlt.",XVIII. 140,Dworskie nabozenstwo ktore kazdy nabozny oboiey płci człowiek kazdego czasu odprawowac może przez iednego …,,1781-01-01T00:00:00Z,,,,J.K.Mci. i Rzeczypospolitey,,
,gebetbuch,,,,,,,,,,,,,,,,,,
,gesellschaft jesu,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,polityka monetarna,http://dlibra.bibliotekaelblaska.pl/Content/6042,clarind-uds:poldilemma-6042,CC BY NC SA,pol,,starodruk,text,"Memoriał na Sejm Walny w 1643. Dowodzi on strat, jakie ponosiła Rzeczpospolita w związku z zalewaniem jej przez obcą walutę, zwłaszcza przez monety śląskie oraz talary złote i lewkowe. Jest to druk urzędowy, wydany w formacie 4º, pochodzący z kolekcji S. Gierszewskiego.",XVII. 66,"Dowod iasney szkody, ktora ponosi Krolestwo Polskie z cudzoziemskich Pieniedzy...",,1645-01-01T00:00:00Z,application/xml,application,xml,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-6042
,geldpolitik,oai:dlibra.bibliotekaelblaska.pl:publication:6256,hdl:11858/00-246C-0000-0023-8D2D-A,CC BY NC SA,lat,,alter druck,text,"Denkschrift an das allgemein-polnische Parlament, das 1643 stattfand. Das Druckerzeugnis zeigt auf, welche Verluste Polen wegen der Überflutung durch fremde Währung zu leiden hat, besonders durch schlesische Münzen, goldene Talern und Rigsdaler. Amtliches Druckerzeugnis; Format-4º; aus der Sammlung vom Professor S. Gierszewski",XVII. 66,"Dowod iasney szkody, ktora ponosi Krolestwo Polskie z cudzoziemskich Pieniedzy...",,1645-01-01T00:00:00Z,,,,,,
2020-10-07T13:30:10Z,prusy - administracja królewska - 18 w.,http://dlibra.bibliotekaelblaska.pl/Content/6073,clarind-uds:poldilemma-6073,CC BY NC SA,pol,,starodruk,text,"Rozporządzenie skierowane do pasterzy, owczarzy i parobków, mówiące o zakazie wypasu zwierząt w lasach królewskich, pod groźbą wysokich grzywien i kar. Rozporządzenie podpisane przez barona Schulenburga. Dwukartkowy, dwukolumnowy druk urzędowy w języku polskim i niemieckim wydany w formacie 2°. Pochodzi z kolekcji S. Gierszewskiego.",XVIII. 266,"Publicandum : jakim sposobem karani bydz mają pasterze, owczarze albo parobcy y państwo ich, kiedy się odważą pasać...",,1784-01-01T00:00:00Z,application/xml,application,xml,b.w.,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-6073
,rozporządzenia - wypas bydła,oai:dlibra.bibliotekaelblaska.pl:publication:6296,hdl:11858/00-246C-0000-0023-8D2E-8,CC BY NC SA,ger,,alter druck,text,"Die an die Hirten, Schäfer und andere Dienstleute gerichtete Verordnung betreffend das Verbot des Tierweidens in den königlichen Wäldern. Die Verletzung des Verbots war mit hohen Strafen belegt. Die Verordnung wurde vom Freiherr von Schulenburg unterschrieben. Zweispaltige Amtsurkunde, in polnischer und deutscher Sprache. Format 2°. Stammt aus der Sammlung von S. Gierszewski.",XVIII. 266,"Publicandum : jakim sposobem karani bydz mają pasterze, owczarze albo parobcy y państwo ich, kiedy się odważą pasać...",,1784-01-01T00:00:00Z,,,,nicht angegeben,,
,verordnungen - tierweiden,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,kazania polskie 18 w.,http://pbc.biaman.pl/Content/611,clarind-uds:poldilemma-611,CC BY NC SA,pol,,starodruk,text,ilość skanów: 146 ; sygn. S-44,,"Snopek mirrhy gorzkiey męki Jezusowey, y Jego Matki Nayświętszey Panny Serdecznych boleści [...].","Rakiewicz, Augustyn",1712-01-01T00:00:00Z,application/xml,application,xml,Drukarnia WW. OO. Bazylianów,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-611
,,,hdl:11858/00-246C-0000-0023-8D2F-6,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,kazania polskie 18 w.,http://pbc.biaman.pl/Content/636,clarind-uds:poldilemma-636,CC BY NC SA,pol,,starodruk,text,ilość skanów: 327; sygn. S-761,,Kazania niedzielne. T.2.,"Lachowski, Sebastian (1731-1794)",1793-01-01T00:00:00Z,application/xml,application,xml,Drukarnia J.K.Mci XX. Bazylianów,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-636
,,,hdl:11858/00-246C-0000-0023-8D31-B,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,sądownictwo,http://dlibra.bibliotekaelblaska.pl/Content/6368,clarind-uds:poldilemma-6368,CC BY NC SA,pol,,starodruk,text,"Teodor Ostrowski, historyk i prawnik polski (1750 —1802), pijar, profesor Collegium Nobilium i Korpusu kadetów. Powołany przez Sejm Czteroletni do deputacji, która miała ułożyć kodeks cywilny i karny. Twórca prawa sądowego (proces, prawo prywatne i karne). Przedstawiciel myśli humanitarnej epoki stanisławowskiej. Czynny uczestnik Towarzystwa Prawniczego. Jego dzieło „Inwentarz praw…” to synteza prawa polskiego. Druk wydany w drukarni J. K. Mci v Rzeczypospolitey XX. Scholarum Piarum w Warszawie. Format 2°.",XVIII. 3,"Inwentarz praw, traktatow y konstytucyi koronnych y W. X. Lit. Od Sejmu Konwokacyinego w R. 1764….",Ostrowski Teodor,1782-01-01T00:00:00Z,application/xml,application,xml,J. K. Mci v Rzeczypospolitey XX. Scholarum Piarum,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-6368
,prawo karne,oai:dlibra.bibliotekaelblaska.pl:publication:6264,hdl:11858/00-246C-0000-0023-8D30-D,CC BY NC SA,lat,,,,,,,,,,,,,,
,towarzystwo prawnicze,,,,,,,,,,,,,,,,,,
,"ostrowski, teodor",,,,,,,,,,,,,,,,,,
2023-08-29T10:28:45Z,corpus linguistics,"DaSciTeX, hdl:11858/00-246C-0000-0005-BD0F-D",clarind-uds:sascitex,Copyrighted,eng,Prof. Elke Teich,collection,collection,Synchronic corpus of scientific texts from 9 different disciplines.,,SaSciTeX,Universität des Saarlandes,2011–2014,text/xml,text,xml,Universität des Saarlandes,1970–1989,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:sascitex
,linguistics,"Degaetano-Ortlieb, S., Kermes, H., Lapshinova-Koltunski, E., and Teich, E. (2013). SciTex - A Diachronic Corpus for Analyzing the Development of Scientific Registers. In P. Bennett, M. Durrell, S. Scheible, and R. J. Whitt (eds.), New Methods in Historical Corpus Linguistics (Vol. 3, S. 93–104). Narr.",hdl:11858/00-246C-0000-0023-8CF9-6,,,Stefania Degaetano-Ortlieb,corpus,text,"The Saarbrücken Corpus of Scientific Texts (SaSciTex) contains full English scientific journal articles compiled from nine scientific domains. The corpus has a three-way partition: a center discipline (computer science) four 'pure' contact disciplines (linguistics, biology, mechanical engineering, electrical engineering) and four corresponding 'mixed' disciplines (computational linguistics, bio-informatics, computer-aided design, micro-electronics). The corpus comes in two versions a small manually checked corpus (approx. one million words) a large corpus (17 million words.)",,,"Registers in Contact, DFG project TE-198/2",,,,,,World,
,register,,,,,Ekaterina Lapshinova-Koltunski,,,"Das Saarbrücken Corpus of Scientific Texts (SaSciTex) besteht aus Vollversionen Englischer wissenschaftlicher Zeitschriftenartikel und umfasst 9 verschiedene wissenschaftliche Domänen. Der Aufbau des Korpus ist dreigliedrig: eine zentrale Disziplin (Informatik),vier 'reine' Kontaktdisziplinen (Linguistik, Biologie, Maschinen Bau, Elektrotechnik), vier dazugehörige Mischdisziplinen (Computerlinguistik, Bio-Informatik, CAD, Mikroelektronik). Es gibt zwei Versionen des Korpus: ein kleines manuell korrigiertes Korpus (ca. eine Million Wörter), ein großes Korpus (17 Millionen Wörter).",,,,,,,,,,
,scientific discourse,,,,,Hannah Kermes,,,,,,,,,,,,,
,computer science,,,,,,,,,,,,,,,,,,
,computational linguistics,,,,,,,,,,,,,,,,,,
,biology,,,,,,,,,,,,,,,,,,
,bioinformatics,,,,,,,,,,,,,,,,,,
,electrical engineering,,,,,,,,,,,,,,,,,,
,micro-electronics,,,,,,,,,,,,,,,,,,
,mechanical engineering,,,,,,,,,,,,,,,,,,
,computer-aided design,,,,,,,,,,,,,,,,,,
,functional variation,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,,"Chrupała, G. and Klakow, D. (2010). A Named Entity Labeler for German: exploiting Wikipedia and distributional clusters. In LREC 2010.",clarind-uds:seminer,,deu,Grzegorz Chrupała,software,software,SemiNER is a semi-supervised Named Entity Recognizer (with pre-trained models for German).,sequor,SemiNER,"Grzegorz Chrupała
FR 7.4 Spoken Language Systems
Saarland University
Saarbrücken, Germany",2010-01-01T00:00:00Z,,,,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:seminer
,named entity recognizer,,hdl:11858/00-246C-0000-0005-BD15-E,,,Dietrich Klakow,,,SemiNER ist ein semi-supervised Named Entity Erkenner (trainiert für die Deutsche Sprache).,http://code.google.com/p/sequor/,,,,,,,,,
,annotation tool,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,scripts,"Ashutosh Modi, Ivan Titov, Vera Demberg, Asad Sayeed and Manfred Pinkal. 2016. ""Modeling Semantic Expectation: Using Script Knowledge for Referent Prediction"". In Transactions of Association for Computational Linguistics (TACL). http://www.aclweb.org/anthology/Q17-1003",clarind-uds:tacl-2016,CC BY NC SA,eng,Ashutosh Modi,collection,collection,This resource contains the DR predictions (by humans) on the InScript corpus. These were collected using Amazon Mechanical Turk. For details please refer to the paper mentioned below.,,Modeling Semantic Expectations,"Ashutosh Modi, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus C7.4, 66123 Saarbrücken",2017-01-01T00:00:00Z,text/xml,text,xml,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:tacl-2016
,script knowledge,,hdl:21.11119/0000-0000-5DD9-4,,,Ivan Titov,dataset,dataset,,,,,,,,,,,
,narrative texts,,,,,Vera Demberg,text,text,,,,,,,,,,,
,referent prediction,,,,,Asad Sayeed,,,,,,,,,,,,,
,referring expression,,,,,Manfred Pinkal,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,"Lapshinova-Koltunski, Ekaterina. 2013. VARTRA: A Comparable Corpus for Analysis of Translation Variation. In Proceedings of the Sixth Workshop on Building and Using Comparable Corpora. Sofia, Bulgaria. Association for Computational Linguistics. pp. 77-86. URL: http://aclweb.org/anthology/W13-2510",clarind-uds:vartra,partly copyrighted; partly free for academic use,eng,Ekaterina Lapshinova-Koltunski,dataset,dataset,"VARTRA (VARiation in TRAnslation) is a comparable English-to-German translation corpus created to investigate translation variation phenomena in terms of contrasts between languages, text types and translation methods (machine vs. computer-aided vs. human). These phenomena are reflected in linguistic features of translated texts belonging to different registers and produced with different translation methods. VARTRA-SMALL contains English original texts and variants of their translations (to each text) into German which were produced by: (1) human professionals (PT), (2) human student translators with the help of computer-aided translation tools (CAT), (3) rule-based MT systems (RBMT) and (4) statistical MT systems (SMT). The English originals (EO), as well as the translations by profesionals (PT) were exported from the already existing corpus CroCo (cf. Hansen-Schirra et al. 2012). The CAT variant was produced by student assistents who used the CAT tool ACROSS in the translation process. The RBMT variant was translated with SYSTRAN (RBMT). For SMT, we have compiled two versions-the one produced with Google Translate (SMT1), and the other one with a Moses system (SMT2). Each translation variant is saved as a subcorpus and covers seven registers of written language: political essays (ESSAY), fictional texts (FICTION), manuals (INSTR), popular-scientific articles (POPSCI), letters of share-holders (SHARE), prepared political speeches (SPEECH), and touristic leaflets (TOU). The total number of tokens in VARTRA-SMALL comprises 795,460. All subcorpora of VARTRA-SMALL are tokenised, lemmatised, tagged with part-of-speech information, segmented into syntactic chunks and sentences. The annotations were obtained with Tree Tagger (Schmid, 1994). VARTRA-SMALL is encoded in CWB and can be queried with the help of Corpus Query Processor (CQP) (Evert, 2005). In the CWB format, the corpus contains two types of annotation: structural and positional. Structural annotation is written in XML and provides a description of the textual structure, on the one hand, and metatextual information, on the other hand. We also encode a part of the meta-data, such as information on register, as well as translation method, tools used and the source language. STRUCTURAL ATTRIBUTES: metadata: id, register; structure: chunk (shallow chunks with TreeTagger), s (sentence borders based on the TreeTagger output). Positional annotation is provided at token level containing linguistic information. POSITIONAL ATTRIBUTES: word, pos (STTS Tagset, TreeTagger). The metadata (e.g. information on translators and the system used) are also saved in .header-files.",English originals from CroCo (clarind-uds:croco),VARTRA-SMALL,Ekaterina Lapshinova-Koltunski,2013-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:vartra
,linguistics,"Lapshinova-Koltunski, Ekaterina. 2013. VARTRA: A Comparable Corpus for Analysis of Translation Variation. In Proceedings of the Sixth Workshop on Building and Using Comparable Corpora. Sofia, Bulgaria. Association for Computational Linguistics. pp. 77-86. URL: http://aclweb.org/anthology/W13-2510",hdl:11858/00-246C-0000-0023-8CDB-A,,deu,,,,,German translations from English by professionals from CroCo (clarind-uds:croco),,,,,,,,,
,computational linguistics,"Lapshinova-Koltunski, Ekaterina. 2013. VARTRA: A Comparable Corpus for Analysis of Translation Variation. In Proceedings of the Sixth Workshop on Building and Using Comparable Corpora. Sofia, Bulgaria. Association for Computational Linguistics. pp. 77-86. URL: http://aclweb.org/anthology/W13-2510",,,,,,,,"German translations from English by students of translation at FR4.6, Saarland University (within the VARTRA projects)",,,,,,,,,
,translation,"Lapshinova-Koltunski, E. and Santanu Pal (2014). Comparabilty of Corpora in Human and Machine Translation. In Proceedings of BUCC, 7th Workshop on Building and Using Comparable Corpora. Building Resources for Machine Translation Research, Reykjavik, May 27, 2014.",,,,,,,,German translations from English with the SYSTRAN machine translation system (within the VARTRA projects),,,,,,,,,
,variation in translation,"Lapshinova-Koltunski, E. (2015). Variation in Translation: Evidence from corpora. In C. Fantinuoli and F. Zanettin. New directions in corpus-based translation studies.Translation and Multilingual Natural Language Processing (TMNLP), pp. 79-99. Language Science Press.",,,,,,,,German translations from English with a Moses-based machine translation system (within the VARTRA projects),,,,,,,,,
,,"Lapshinova-Koltunski, E. (to appear 2015). Exploratory Analysis of Dimensions Influencing Variation in Translation: The case of text register and translation method. In De Sutter, G. and Delaere, I. and Lefer, M.-A. (eds.). New Ways of Analysing Translational Behaviour in Corpus-Based Translation Studies. TILSM series. Mouton de Gruyter.",,,,,,,,German translations from English with the Google machine translation system (within the VARTRA projects),,,,,,,,,
2020-10-07T13:30:10Z,litwa - historia,http://pbc.biaman.pl/Content/7947,clarind-uds:poldilemma-7974,CC BY NC SA,pol,,starodruk,text,ilość skanów: 812 ; sygn. St-327,,Kronika Macieja Stryjkowskiego niegdyś w Królewcu drukowana.,"Stryjkowski, Maciej (ca 1547-ca 1593)",1766-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Societatis Jesu,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-7974
,,,hdl:11858/00-246C-0000-0023-8D34-5,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,polska - 18 w.,http://www.pbc.rzeszow.pl/Content/8040,clarind-uds:poldilemma-8040,CC BY NC SA,pol,,starodruk,text,Druk czcionką gotycką,Sygnatura oryginału: SD-984-985,Manifest Jaśnie Wielmożnego Imci Pana Adama na Melsztynie y Czekarzowicach Tarla Wojewody Lubelskiego na widok światu polskiemu wydany,"Tarło, Adam (1713-1744)",1744-03-14T00:00:00Z,application/xml,application,xml,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-8040
,,oai:www.pbc.rzeszow.pl:publication:8687,hdl:11858/00-246C-0000-0023-8D35-3,CC BY NC SA,lat,,,,Manifest w dwóch jednobrzmiących współoprawnych egzemplarzach,,,,,,,,,,
